State,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - Sufficient,OC - Deficient,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
ANDHRA PRADESH,0.70%,17.15%,82.15%,8.51%,59.75%,31.73%,73.54%,20.69%,5.77%,29.46%,70.54%,18.67%,81.33%,2.71%,16.04%,81.24%
ARUNACHAL PRADESH,2.14%,36.74%,61.12%,16.91%,71.45%,11.64%,31.79%,27.00%,41.21%,28.21%,71.79%,0.66%,99.34%,83.79%,15.97%,0.24%
ASSAM,20.51%,79.34%,0.15%,0.46%,89.82%,9.72%,17.49%,50.38%,32.13%,44.54%,55.46%,1.98%,98.02%,33.29%,39.84%,26.88%
BIHAR,1.21%,37.01%,61.78%,24.75%,72.73%,2.52%,66.73%,30.50%,2.77%,63.50%,36.50%,27.03%,72.97%,11.10%,55.22%,33.68%
CHHATTISGARH,0.20%,25.46%,74.34%,1.32%,76.96%,21.72%,77.31%,20.77%,1.92%,51.47%,48.53%,24.71%,75.29%,51.13%,42.14%,6.73%
DELHI,4.76%,0%,95.24%,5.26%,36.84%,57.89%,27.78%,5.56%,66.67%,100%,0%,60%,40%,50%,31.82%,18.18%
GOA,11.80%,70.50%,17.70%,7.43%,24.77%,67.80%,38.94%,29.79%,31.27%,87.61%,12.39%,20.94%,79.06%,98.82%,0.88%,0.29%
GUJARAT,0.09%,24.83%,75.08%,18.07%,61.97%,19.96%,77.37%,18.61%,4.02%,77.32%,22.68%,53.70%,46.30%,1.60%,44.93%,53.47%
HIMACHAL PRADESH,1.28%,42.87%,55.85%,6.55%,79.31%,14.14%,60.32%,35.10%,4.58%,94.25%,5.75%,5.10%,94.90%,37.46%,54.79%,7.75%
JAMMU & KASHMIR,14.51%,60.44%,25.05%,11.79%,85.47%,2.74%,54.55%,41.81%,3.64%,84.10%,15.90%,35.71%,64.29%,20.36%,66.28%,13.36%
JHARKHAND,0.60%,46.76%,52.64%,2.01%,87.00%,10.98%,37.85%,57.41%,4.74%,63.94%,36.06%,16.49%,83.51%,87.58%,10.78%,1.65%
KARNATAKA,1.19%,39.54%,59.27%,12.90%,77.66%,9.44%,66.42%,25.14%,8.44%,29.56%,70.44%,35.53%,64.47%,18.21%,33.46%,48.33%
KERALA,1.89%,47.17%,50.94%,0.67%,56.67%,42.67%,26%,41.33%,32.67%,70.67%,29.33%,2.67%,97.33%,90.60%,9.40%,0%
MADHYA PRADESH,0.62%,30.42%,68.95%,3.42%,86.35%,10.23%,75.29%,23.29%,1.42%,67.03%,32.97%,42.03%,57.97%,9.39%,59.89%,30.72%
MAHARASHTRA,1.53%,20.22%,78.25%,7.16%,68.46%,24.38%,85.55%,13.27%,1.18%,38.82%,61.18%,27.85%,72.15%,9.66%,30.63%,59.71%
MANIPUR,0%,75%,25%,75%,25%,0%,0%,100%,0%,75%,25%,0%,100%,25%,50%,25%
MEGHALAYA,0.13%,33.77%,66.09%,4.67%,52.33%,43.00%,42.89%,50.49%,6.62%,89.01%,10.99%,0.34%,99.66%,99.73%,0.14%,0.14%
MIZORAM,0%,29.88%,70.12%,1.20%,63.60%,35.20%,37.74%,26.07%,36.19%,92.44%,7.56%,100%,0%,90.06%,8.77%,1.17%
NAGALAND,12.13%,60.42%,27.45%,12.22%,61.21%,26.58%,57.75%,34.47%,7.78%,81.78%,18.22%,9.99%,90.01%,95.89%,3.83%,0.28%
ODISHA,0%,0%,100%,0%,69.23%,30.77%,69.23%,30.77%,0%,0%,100%,3.85%,96.15%,30.77%,0%,69.23%
PUNJAB,0%,0%,100%,1.03%,93.81%,5.15%,38.14%,55.67%,6.19%,45.76%,54.24%,6.04%,93.96%,13.87%,59.58%,26.54%
RAJASTHAN,0.21%,1.18%,98.61%,5.95%,88.86%,5.18%,78.63%,19.44%,1.93%,19.38%,80.62%,43.55%,56.45%,0.08%,11.12%,88.80%
SIKKIM,2.21%,61.24%,36.55%,26.71%,72.12%,1.17%,67.54%,29.27%,3.19%,87.41%,12.59%,30.06%,69.94%,97.72%,2.10%,0.19%
TAMIL NADU,0.06%,0.67%,99.27%,11.99%,66.40%,21.61%,68.07%,24.44%,7.49%,13.84%,86.16%,14.41%,85.59%,11.86%,31.93%,56.21%
TELANGANA,0%,0%,100%,0.49%,38.67%,60.84%,0.49%,1.48%,98.03%,90.55%,9.45%,28.82%,71.18%,0.74%,98.52%,0.74%
TRIPURA,0.07%,40.12%,59.81%,10.34%,89.43%,0.22%,1.53%,95.16%,3.31%,97.72%,2.28%,20.66%,79.34%,99.57%,0.05%,0.38%
UTTAR PRADESH,0.24%,2.07%,97.69%,1.02%,75.64%,23.34%,42.99%,51.29%,5.72%,15.47%,84.53%,58.00%,42.00%,0.92%,53.93%,45.15%
UTTARAKHAND,0.12%,6.45%,93.42%,8.60%,77.20%,14.20%,47.56%,43.18%,9.26%,65.29%,34.71%,49.92%,50.08%,21.76%,65.86%,12.38%
WEST BENGAL,2.83%,61.33%,35.84%,36.08%,56.43%,7.48%,75.71%,20.31%,3.98%,73.15%,26.85%,10.66%,89.34%,82.92%,12.54%,4.53%
