"State		",Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"State	",24,73,92,8,9,12,13,43,4,5,500,178,467,500,556
"Andhra Pradesh	",3.15,3.17,3.18,4,3.24,2.92,3,3.03,3.79,3.13,928,947,954,946,965
"Arunachal Pradesh	",10.38,11.96,9.76,9.87,8.9,9.43,10.6,8.8,8.66,7.87,908,886,901,877,884
"Bihar	",43.99,42.09,37.8,29.32,24.09,17.01,15.96,14.67,12.08,9.87,387,379,388,412,410
"Chhattisgarh	",0.01,0,0.01,0,0,0.01,0,0.01,0,,1200,0,1200,0,0
"Dadra And Nagar Haveli	",0.2,0.17,0,0,0,0.19,0.14,0,0,0,959,818,480,0,0
"Goa	",33,17.51,14.14,17.22,15.1,21,3.49,6.93,9.2,6.95,636,199,490,534,460
"Gujarat	",2.5,0.7,1.18,0.99,1.37,1.1,0.36,0.69,0.56,0.8,440,514,585,566,584
"Haryana	",8.14,8.2,8.66,11.57,21.66,7.02,6.99,7.58,16.51,41.86,863,852,875,1426,1933
"Himachal Pradesh	",16.43,17.25,15.45,14.38,12.99,8.83,8.75,42.94,8.89,8.22,537,507,2779,618,633
"Jammu And Kashmir	",41.26,41.67,37.31,37.24,38.4,28.63,26.43,25.51,26.73,25.69,694,634,684,718,669
"Jharkhand	",193,108.42,154,95,107,111.4,51,111,56,53,577,470,721,589,495
"Karnataka	",0,0.14,0.09,0.02,0,0,0.12,0.08,0.01,0.01,0,912,835,684,2500
"Kerala	",0,0,0,1.22,1.22,0,0,0,1.1,1.1,0,0,0,898,900
"Ladakh	",16,2,0,2,1,7,1,0,0.27,0.27,438,500,0,133,267
"Madhya Pradesh	",81,87.3,88.53,123.27,78.51,54,41.2,38.65,89.91,68.04,667,472,437,729,867
"Maharashtra	",2.49,0,2.29,2.42,2.39,2.79,0,2.04,2.55,2.27,1120,0,892,1053,950
"Manipur	",1.9,1.77,1.8,1.82,1.6,3.03,3.09,2.5,2.56,2.32,1594,1748,1390,1404,1445
"Mizoram	",14.33,11.67,14.7,14.77,13.17,17.9,17.55,18.38,18.49,15.56,1249,1504,1250,1252,1181
"Nagaland	",131.58,130.91,177.27,151.76,173.58,68.91,68.48,100.67,80.02,89.48,524,523,568,527,515
"Odisha	",0.07,0.06,0.06,0,0,0.22,0.06,0.05,0,0,2986,984,793,0,1000
"Puducherry	",1138.46,1048.94,1004.83,1026.4,1130.06,362.5,261.54,347.12,359.36,239.32,318,249,345,350,212
"Rajasthan	",2.66,2.28,2.45,2.28,0,2.61,2.26,2.43,2.27,0,980,990,991,993,0
"Sikkim	",85.38,77.88,82.75,81.07,75.4,60.02,61.55,66.9,59.62,53.08,703,790,808,735,704
"Tamil Nadu	",2,1,1,3,1,2,1,1,4,1,1000,1000,1000,1333,1000
"Telangana	",4.51,4.27,4.16,3.43,3.72,3.27,3.34,3.3,2.79,2.95,726,781,794,813,792
"Tripura	",28,28,25,28,27,27,27,25,29,31,964,964,1000,1036,1148
"Uttarakhand	",1,1.84,1.52,1.48,0.95,0.7,1.23,1.02,0.99,0.63,700,668,670,666,662
"West Bengal	",1885.43,1722.2,1779.92,1670.55,1751.36,831.47,629.15,873.28,799.34,669.4,441,365,491,478,382
"All India	",,,,,,,,,,,,,,,
