Sl. No.,Commodity,Variety,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Paddy,Common,1750,1815,1868,1940,2040,2183
2,Paddy,Grade 'A',1770,1835,1888,1960,2060,2203
3,Jowar,Hybrid,2430,2550,2620,2738,2970,3180
4,Jowar,Maldandi,2450,2570,2640,2758,2990,3225
5,Bajra,NA,1950,2000,2150,2250,2350,2500
6,Ragi,NA,2897,3150,3295,3377,3578,3846
7,Maize,NA,1700,1760,1850,1870,1962,2090
8,Tur ,NA,5675,5800,6000,6300,6600,7000
9,Moong,NA,6975,7050,7196,7275,7755,8558
10,Urad,NA,5600,5700,6000,6300,6600,6950
11,Groundnut,NA,4890,5090,5275,5550,5850,6377
12,Sunflower Seed,NA,5388,5650,5885,6015,6400,6760
13,Soyabeen (Yellow),NA,3399,3710,3880,3950,4300,4600
14,Sesamum,NA,6249,6485,6855,7307,7830,8635
15,Nigerseed,NA,5877,5940,6695,6930,7287,7734
16,Cotton,Medium Staple,5150,5255,5515,5726,6080,6620
17,Cotton,Long Staple,5450,5550,5825,6025,6380,7020
18,Wheat,NA,1840,1925,1975,2015,2125,2275
19,Barley,NA,1440,1525,1600,1635,1735,1850
20,Gram,NA,4620,4875,5100,5230,5335,5440
21,Masur (lentil),NA,4475,4800,5100,5500,6000,6425
22,Rapeseed & Mustard,NA,4200,4425,4650,5050,5450,5650
23,Safflower,NA,4945,5215,5327,5441,5650,5800
24,Copra,Milling,7511,9521,9960,10335,10590,10860
25,Copra,Ball,7750,9920,10300,10600,11000,11750
26,Jute,NA,3700,3950,4225,4500,4750,5050
