"State			",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Kharif,0,0.46,0,0,0,0,0.13,0,0,0,500,288,0,100,100
"Andhra Pradesh	",Kharif,367,363,363,282,307,180.52,81.61,180.09,117.61,109.08,492,225,496,417,355
"Arunachal Pradesh	",Kharif,6.39,5.3,6.47,6.47,6.63,5.87,5.05,6.14,6.2,6.37,919,952,949,958,961
"Assam	",Kharif,5.61,5.55,5.83,6.04,5.81,4.67,4.62,5.04,5.17,4.98,833,833,864,856,858
"Bihar	",Kharif,44.23,46.4,41,42.02,35.04,50.62,54.9,47.89,46.3,39.27,1145,1183,1168,1102,1121
"Chhattisgarh	",Kharif,204.75,202.37,167.19,159.78,138.07,86.32,80.41,73.43,71.01,61.02,422,397,439,444,442
Dadra And Nagar Haveli,Kharif,2.46,2.65,2.31,0,0,2.46,3.05,2.27,0,0,1000,1150,985,0,0
Daman And Diu,Kharif,0,0,0.19,0,0,0,0,0.2,0,0,0,0,1081,0,0
"Goa	",Kharif,0.2,0.17,0,0,0,0.19,0.14,0,0,0,959,818,480,0,0
"Gujarat	",Kharif,557,441.08,404.82,448.86,519.56,510.13,400,328.78,398.63,433.85,916,907,812,888,835
"Haryana	",Kharif,20.2,22.7,22.49,48.01,82.01,15,15.55,13.95,32.74,54.66,742,685,620,682,667
"Himachal Pradesh	",Kharif,15.23,15.36,15.87,18.75,28.18,11.75,11.78,12.83,21.65,46.52,771,767,809,1155,1651
"Jammu And Kashmir	",Kharif,17.05,17.63,15.76,14.74,13.35,9.07,8.91,43.08,9.05,8.36,532,506,2733,614,626
"Jharkhand	",Kharif,411.14,431.73,419.24,430.01,445.36,403.06,391.56,397.31,422.76,448.49,980,907,948,983,1007
"Karnataka	",Kharif,1602,2087.27,2136,2238,2302,1075.08,1181.19,1407.49,1515.91,1380.39,671,566,659,677,600
"Kerala	",Kharif,0.21,0.4,0.4,0.22,0.19,0.32,0.57,0.6,0.34,0.31,1560,1415,1480,1564,1654
"Ladakh	",Kharif,0,0,0,1.22,1.22,0,0,0,1.1,1.1,0,0,0,898,900
"Madhya Pradesh	",Kharif,2680,2747,2057,1561,1849,2281.81,1352.59,752.41,703.61,1000.36,851,492,366,451,541
"Maharashtra	",Kharif,2104.7,2196.3,2011.35,2154.71,2227.61,1461.79,1233.92,1425.01,1851.44,1856.97,695,562,708,859,834
"Manipur	",Kharif,3.02,0.53,4.52,4.83,4.76,3.39,0.56,4.04,5.01,4.55,1123,1055,893,1038,956
"Meghalaya	",Kharif,1.18,1.18,1.18,1.19,1.19,1.53,1.53,1.53,1.55,1.56,1295,1295,1298,1302,1305
"Mizoram	",Kharif,2.14,2.1,2.13,2.23,1.97,3.28,3.42,2.81,2.97,2.7,1531,1632,1319,1336,1365
"Nagaland	",Kharif,18.84,15.9,18.39,18.46,14.02,22.01,21.55,21.8,21.95,16.34,1168,1355,1185,1189,1165
"Odisha	",Kharif,441.27,401.35,425.8,401.91,478.43,248.27,252.43,286.4,273.65,277.45,563,629,673,681,580
"Puducherry	",Kharif,0.35,0.23,0.23,0.01,0,0.49,0.23,0.21,0.01,0,1422,987,924,1000,1000
"Punjab	",Kharif,7.7,7.5,26.7,6.4,5.1,6.56,6.19,22.96,5.82,4.1,852,825,860,909,803
"Rajasthan	",Kharif,3708.84,4274.55,3838.79,3994.67,4122.95,1641.33,1867.03,1774.38,1928.67,1308.04,443,437,462,483,317
"Sikkim	",Kharif,5.35,5,5.24,5.14,2.85,5.1,4.81,5.04,4.95,2.69,954,961,962,964,943
"Tamil Nadu	",Kharif,222.48,190.73,189.91,197.26,184.46,184.98,165.19,169.05,170.19,150.58,831,866,890,863,816
"Telangana	",Kharif,456,390,371,409.7,370,349.86,256.84,328.74,296.34,279.04,767,659,886,723,754
"Tripura	",Kharif,15.44,14.51,14.2,15.02,14.33,10.43,10.34,10.5,11.32,10.69,675,712,739,754,747
"Uttarakhand	",Kharif,46,43,40,43,43,41.45,39.83,38.87,45.38,49.84,901,926,972,1055,1159
"Uttar Pradesh	",Kharif,892,823,853,843,842,632.15,582.86,506.15,595.45,624.25,709,708,593,706,741
"West Bengal	",Kharif,74.55,74.72,75.46,75.7,72.89,56.27,52.55,51.9,51.45,51.5,755,703,688,680,707
"All India	",Kharif,13933.3,14829.67,13535.46,13430.34,14118.99,9305.76,8091.35,7920.88,8618.22,8235.03,668,546,585,642,583
