"State	",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andhra Pradesh	",Rabi,1018,947,1097.1,1131.5,1067,5316.73,4352.18,5456.58,5425.97,5152.97,5223,4596,4974,4795,4829
"Arunachal Pradesh	",Rabi,14.22,3.93,13.8,14.36,15.62,24.83,7.74,24.19,25.45,27.59,1746,1970,1753,1772,1767
"Assam	",Rabi,418.19,417.82,406.85,389.37,379.21,1215.85,1169.38,1040,1084.55,855.56,2907,2799,2556,2785,2256
"Bihar	",Rabi,2633.76,2677.48,2681.86,2744.7,2788.67,8083.67,8648.93,7286.49,8159.53,8814.28,3069,3230,2717,2973,3161
"Chandigarh	",Rabi,0.05,0.05,0.55,0.55,0.55,0.26,0.27,2.46,2.46,2.74,4699,5000,4500,4500,5000
"Chhattisgarh	",Rabi,103.33,107,111.47,161.56,157.29,132.73,164.21,116.31,249.35,192.83,1284,1535,1043,1543,1226
"Dadra And Nagar Haveli	",Rabi,0.19,0.38,3.4,0,0,0.44,0.66,8.61,0,0,2326,1729,2531,0,0
"Delhi	",Rabi,19.41,19.28,19.26,19.23,18.14,83.6,83.05,83.05,83.77,81.61,4307,4308,4312,4356,4499
"Goa	",Rabi,11.3,10.54,10.29,9.24,9.06,31.72,28.58,29.82,25.77,24.84,2807,2711,2899,2790,2742
"Gujarat	",Rabi,1234,961.81,1230.89,1203.55,1224.4,3437.88,2797.23,3857.91,3718.16,3808.17,2786,2908,3134,3089,3110
"Haryana	",Rabi,2460,2568,2546.02,2573.26,2307.99,10834.28,12631.62,11922.89,12425.33,10457.85,4404,4919,4683,4829,4531
"Himachal Pradesh	",Rabi,338.03,339.36,306.4,353.58,338.33,599.61,600.66,594.23,602.49,580.24,1774,1770,1939,1704,1715
"Jammu And Kashmir	",Rabi,305.12,295.43,251.42,247.74,289.92,490.69,676.51,492.83,486.15,588.88,1608,2290,1960,1962,2031
"Jharkhand	",Rabi,231.1,169.79,222.42,245.09,239.7,489.24,313.95,455.48,572.39,548.11,2117,1849,2048,2335,2287
"Karnataka	",Rabi,1569,1247.35,1255,1418.1,1288.9,2454.31,1751.06,2366.7,2823.68,2721.63,1564,1404,1886,1991,2112
"Kerala	",Rabi,44.16,46.2,46.2,47.91,45.71,134.6,148.82,157.06,164.17,145.72,3048,3221,3400,3427,3188
"Ladakh	",Rabi,0,0,0,10.47,14.37,0,0,0,10.87,28.97,0,0,0,1038,2016
"Madhya Pradesh	",Rabi,5494,5632,6636,6167,6516,16370.69,16772.56,19849.07,18444.95,23009.98,2980,2978,2991,2991,3531
"Maharashtra	",Rabi,3109.3,2227.17,3479.1,3370.56,3113.86,3721.02,2236.41,4492.59,4711.48,5242.41,1197,1004,1291,1398,1684
"Manipur	",Rabi,216.24,223.67,146.74,204.32,204.24,499.7,376.74,273.61,545.22,573.38,2311,1684,1865,2668,2807
"Meghalaya	",Rabi,14.14,14.09,14.08,14.09,14.12,64.32,42.93,63.94,63.99,64.08,4548,3047,4540,4540,4538
"Mizoram	",Rabi,0.99,0.89,0.96,0.99,1.02,1.68,1.63,1.63,1.81,1.78,1696,1831,1696,1834,1748
"Nagaland	",Rabi,14.54,14.8,15.05,15.22,2.41,27.29,27.76,28.26,28.67,4.27,1877,1876,1878,1884,1768
"Odisha	",Rabi,224.14,277.24,296.66,350.89,303.22,701.29,933.54,946.11,1160.37,1146.86,3129,3367,3189,3307,3782
"Puducherry	",Rabi,4.3,4.52,4.52,13.83,14.84,15.52,16.62,16.06,35.55,44.39,3611,3682,3555,2571,2992
"Punjab	",Rabi,3519.7,3526.8,3527.2,3536.3,3530,17860.3,18287.24,17638.16,17208.27,14876.88,5074,5185,5001,4866,4214
"Rajasthan	",Rabi,3097.89,3105.91,3435.19,3288.65,2796.24,10299.18,10895.39,11967.43,12053.95,10896.25,3325,3508,3484,3665,3897
"Sikkim	",Rabi,0.59,0.95,0.57,0.45,0.1,0.64,1.02,0.64,0.52,0.12,1074,1074,1131,1165,1155
"Tamil Nadu	",Rabi,460.27,573.47,548.11,544.76,603.7,1931.12,2466.68,2134.79,1854.22,2225.18,4196,4301,3895,3404,3686
"Telangana	",Rabi,1110,886,1121,1613.4,1465,4312.22,3340.69,4577.46,6271.2,5605.79,3885,3771,4083,3887,3826
"Tripura	",Rabi,74.58,73.76,73.21,72.99,70.12,238.81,238.44,233.92,236.26,239.05,3202,3233,3195,3237,3409
"Uttarakhand	",Rabi,366,367,357,350,342,983.94,1040.24,999.03,1040.85,983.9,2688,2834,2798,2974,2877
"Uttar Pradesh	",Rabi,9983,9779,10110,10099,9668,32502.84,33416.52,34582.51,36265.79,34692.53,3256,3417,3421,3591,3588
"West Bengal	",Rabi,1557.6,1602.95,1712.36,1787.83,1830.23,5575.86,6239.74,6888.1,7537.39,7546.57,3580,3893,4023,4216,4123
"All India	",Rabi,39647.14,38121.63,41680.67,42000.48,40659.95,128436.86,129708.99,138587.94,143320.58,141185.4,3239,3403,3325,3412,3472
