"State		",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Rabi,0.55,0.1,0.52,0.64,0.64,0.18,0.02,0.3,0.26,0.26,321,210,578,407,407
"Andhra Pradesh	",Rabi,2059,1910,1986.1,2093.5,1987,6353.64,5010.16,6443.21,6402.97,6098.36,3086,2623,3244,3059,3069
"Arunachal Pradesh	",Rabi,21.03,11.94,20.68,21.25,22.56,32.42,14.68,32.21,33.54,35.76,1541,1230,1557,1578,1585
"Assam	",Rabi,567.29,562.5,544.98,525.63,517.8,1326.94,1278.26,1141.03,1188.08,961.35,2339,2272,2094,2260,1857
"Bihar	",Rabi,3065.53,3110.45,3098.25,3151.62,3189,8487.25,9047.48,7573.02,8490.07,9162.99,2769,2909,2444,2694,2873
"Chandigarh	",Rabi,0.05,0.05,0.55,0.55,0.55,0.26,0.27,2.46,2.46,2.74,4699,5000,4500,4500,5000
"Chhattisgarh	",Rabi,687.84,650.42,702.12,647.58,676.39,596.37,621.27,284.15,625.86,518.75,867,955,405,966,767
"Dadra And Nagar Haveli	",Rabi,0.19,1.58,3.56,0,0,0.44,1.89,8.77,0,0,2326,1198,2463,0,0
"Daman And Diu	",Rabi,0,0,0.34,,0,0,0,0.34,,0,0,0,1000,,0
"Delhi	",Rabi,19.42,19.28,19.26,19.23,18.14,83.61,83.05,83.05,83.78,81.61,4306,4307,4312,4356,4498
"Goa	",Rabi,16.65,16.58,14.68,13.08,12.86,36.36,34.76,33.68,29.52,27.87,2184,2097,2293,2257,2167
"Gujarat	",Rabi,1585,1182.68,1728.44,2152.16,2466.85,3850.34,3078.56,4586.4,5128.69,6075.41,2429,2603,2653,2383,2463
"Haryana	",Rabi,2512,2617.3,2593.19,2612.82,2351.3,10888.64,12698.2,11973.33,12465.24,10509.29,4335,4852,4617,4771,4470
"Himachal Pradesh	",Rabi,351.26,351.85,318.93,368.88,350.22,645.32,642.87,636.59,641.04,608.88,1837,1827,1996,1738,1739
"Jammu And Kashmir	",Rabi,307.32,297.64,252.92,249.14,291.47,492.26,678.21,493.93,487.17,590.05,1602,2279,1953,1955,2024
"Jharkhand	",Rabi,613.01,480.84,594.67,663.42,649.55,922.91,657.55,873.12,1054.98,997.91,1506,1368,1468,1590,1536
"Karnataka	",Rabi,2990.7,2516.74,2230.5,2306.11,2173.9,3330.45,2343.72,3115.1,3372.8,3312.74,1114,931,1397,1463,1524
"Kerala	",Rabi,45.94,48.29,48.05,49.7,46.96,136.32,150.56,158.65,165.75,146.88,2967,3118,3301,3335,3128
"Ladakh	",Rabi,0,0,0,10.47,14.37,0,0,0,10.87,28.97,0,0,0,1038,2016
"Madhya Pradesh	",Rabi,10294,9485,9336.2,9473,10012.1,22200.46,21465.37,23205.08,23036.05,27704.33,2157,2263,2485,2432,2767
"Maharashtra	",Rabi,5213.6,4033.1,5660.12,5744.77,5978.93,5607,3685.02,6803.58,7181.28,8409.12,1075,914,1202,1250,1406
"Manipur	",Rabi,244.35,254.21,169.67,230.6,232.76,526.35,405.69,294.76,569.59,600.11,2154,1596,1737,2470,2578
"Meghalaya	",Rabi,21.25,22.48,21.22,21.24,21.3,74.71,54.76,74.43,74.48,74.65,3516,2436,3507,3506,3504
"Mizoram	",Rabi,2.17,2.56,2.88,3.05,3.08,3.53,4.14,4.3,4.78,4.8,1627,1616,1493,1566,1557
"Nagaland	",Rabi,35.43,36.62,36.97,37.2,14.29,51.34,52.61,53.24,53.86,18.07,1449,1437,1440,1448,1265
"Odisha	",Rabi,555.76,594.04,617.65,727.77,695.54,882.64,1093.2,1092.16,1317.89,1350.69,1588,1840,1768,1811,1942
"Puducherry	",Rabi,5.22,5.52,5.49,14.88,15.92,16.24,17.06,16.37,35.95,44.9,3110,3089,2983,2416,2821
"Punjab	",Rabi,3542.2,3548.8,3534,3561.9,3587.5,17880.19,18308.72,17644.39,17233.53,14948.74,5048,5159,4993,4838,4167
"Rajasthan	",Rabi,4718.8,4738.98,5936,5439.44,5129.99,12063.22,12787.74,14690.17,14377.3,13641.21,2556,2698,2475,2643,2659
"Sikkim	",Rabi,0.59,0.95,0.57,0.45,2.53,0.64,1.02,0.64,0.52,2.54,1074,1074,1131,1165,1004
"Tamil Nadu	",Rabi,1062.5,1233.28,1181.76,1150.41,1221.35,2302.47,2852.71,2571.14,2156.5,2573.58,2167,2313,2176,1875,2107
"Telangana	",Rabi,1226,1007,1267,1795.4,1689,4476.37,3523.9,4797.91,6564.61,5902.7,3651,3499,3787,3656,3495
"Tripura	",Rabi,86.38,85.1,83.58,84.12,79.5,247.72,247.02,242.09,245.2,246.62,2868,2903,2897,2915,3102
"Uttarakhand	",Rabi,382,384,377,370,358,996.68,1055.74,1017.94,1056.77,997.56,2609,2749,2700,2856,2786
"Uttar Pradesh	",Rabi,11353,11247,11627,11636,11255,34070.68,35241.67,36523.68,38146.23,36687.9,3001,3133,3141,3278,3260
"West Bengal	",Rabi,1940.98,1991.04,2117.68,2177.46,2206.06,5963.36,6555.59,7221.09,7927.85,7884.71,3072,3293,3410,3641,3574
"All India	",Rabi,55527,52447.92,56132.53,57353.46,57272.41,144547.31,143693.5,153692.3,160165.47,160252.06,2603,2740,2738,2793,2798
