Crop,Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22,,,,,,,
,Season,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,,,,,,,
Rice,Kharif,39349.27,39964.35,39012.96,40357.97,41038.41,97135.16,102039.99,102276.51,105208.14,111000.79,2469,2553,2622,2607,2705,,,,,,,
Rice,Rabi,4424.8,4192.09,4649.34,5410.71,5240.27,15622.44,14437.83,16593.81,19160.18,18470.63,3531,3444,3569,3541,3525,,,Normal 2017-18 to 2021-22,,,,
Rice,Total,43774.07,44156.45,43662.3,45768.69,46278.68,112757.61,116477.82,118870.32,124368.32,129471.42,2576,2638,2722,2717,2798,,,Summary,,,,
Wheat,Rabi,29650.59,29318.79,31357.02,31125.16,30458.53,99869.52,103596.23,107860.51,109586.5,107742.07,3368,3533,3440,3521,3537,,,State,Season,Area,Production,Yield
Jowar,Kharif,2059.87,1754.69,1755.17,1642.26,1466.36,2273.81,1735.04,1696.97,1986.34,1598.19,1104,989,967,1210,1090,,,,,,,
Jowar,Rabi,2964.58,2338.59,3068.59,2735.62,2334.45,2529.58,1740.36,3075.13,2825.73,2552.38,853,744,1002,1033,1093,,,Rice,Kharif,39944.59,103532.12,2592
Jowar,Total,5024.45,4093.29,4823.76,4377.87,3800.81,4803.38,3475.41,4772.11,4812.07,4150.57,956,849,989,1099,1092,,,,Rabi,4783.44,16856.98,3524
Bajra,Kharif,7480.6,7105.03,7542.68,7652.1,6840.8,9208.85,8664.13,10362.6,10863.17,9780.63,1231,1219,1374,1420,1430,,,,Total,44728.04,120389.1,2692
Maize,Kharif,7433.69,7330.57,7552.92,7755.44,7784.57,20118.42,19413.6,19429.33,21555.08,22680.58,2706,2648,2572,2779,2914,,,Wheat,Rabi,30382.02,105730.97,3480
Maize,Rabi,1946.38,1696.56,2016.16,2136.53,2173.37,8634.5,8301.5,9336.64,10091.83,11048.96,4436,4893,4631,4723,5084,,,Jowar,Kharif,1735.67,1858.07,1071
Maize,Total,9380.07,9027.13,9569.08,9891.96,9957.95,28752.92,27715.1,28765.97,31646.91,33729.54,3065,3070,3006,3199,3387,,,,Rabi,2688.37,2544.64,947
Ragi,Kharif,1194.29,890.94,1004.46,1159.4,1218.43,1985.24,1238.7,1755.06,1998.36,1701.12,1662,1390,1747,1724,1396,,,,Total,4424.04,4402.71,995
Small Millets,Kharif,546.27,453.75,458.35,444.05,428.92,438.99,333,370.81,346.95,367.44,804,734,809,781,857,,,Bajra,Kharif,7324.24,9775.88,1335
Barley,Rabi,660.8,575.6,589.57,592.47,453.32,1780.81,1633.07,1721.83,1656.34,1371.36,2695,2837,2920,2796,3025,,,Maize,Kharif,7571.44,20639.4,2726
Total Coarse Cereals,Kharif,18714.72,17534.99,18313.58,18653.23,17739.07,34025.3,31384.47,33614.76,36749.9,36127.96,1818,1790,1836,1970,2037,,,,Rabi,1993.8,9482.69,4756
Total Coarse Cereals,Rabi,5571.76,4610.75,5674.32,5464.61,4961.15,12944.89,11674.93,14133.61,14573.9,14972.69,2323,2532,2491,2667,3018,,,,Total,9565.24,30122.09,3149
Total Coarse Cereals,Total,24286.48,22145.73,23987.9,24117.85,22700.23,46970.19,43059.41,47748.37,51323.8,51100.65,1934,1944,1991,2128,2251,,,Ragi,Kharif,1093.5,1735.7,1587
Total Cereals,Kharif,58063.98,57499.34,57326.54,59011.21,58777.48,131160.46,133424.46,135891.27,141958.04,147128.74,2259,2320,2370,2406,2503,,,Small Millets,Kharif,466.27,371.44,797
Total Cereals,Rabi,39647.14,38121.63,41680.67,42000.48,40659.95,128436.86,129708.99,138587.94,143320.58,141185.4,3239,3403,3325,3412,3472,,,Barley,Rabi,574.35,1632.68,2843
Total Cereals,Total,97711.13,95620.97,99007.21,101011.69,99437.43,259597.32,263133.46,274479.21,285278.62,288314.14,2657,2752,2772,2824,2899,,,Total Coarse Cereals,Kharif,18191.12,34380.48,1890
Tur,Kharif,4438.31,4549.54,4532.47,4724.45,4900.26,4289.82,3315.44,3891.73,4315.9,4220.19,967,729,859,914,861,,,,Rabi,5256.52,13660,2599
Gram,Rabi,10560.43,9547.03,9698.75,9995.92,10740.1,11379.19,9937.99,11078.5,11911.18,13543.63,1078,1041,1142,1192,1261,,,,Total,23447.64,48040.48,2049
Urad,Kharif,4350.49,4725.92,3701.68,3212.96,3624.67,2751.24,2362.57,1329.64,1506.59,1865.13,632,500,359,469,515,,,Total Cereals,Kharif,58135.71,137912.59,2372
Urad,Rabi,928.6,876.56,831.66,929.55,1008.81,741.18,697.44,751.64,722.99,910.79,798,796,904,778,903,,,,Rabi,40421.97,136247.95,3371
Urad,Total,5279.09,5602.48,4533.34,4142.5,4633.47,3492.42,3060,2081.28,2229.58,2775.93,662,546,459,538,599,,,,Total,98557.69,274160.55,2782
Moong,Kharif,3259.08,3832.01,3521.39,3822.4,3842.71,1433.23,1784.2,1826.23,1996.4,1480.31,440,466,519,522,385,,,Tur,Kharif,4629.01,4006.62,866
Moong,Rabi,983.2,922.95,1059.16,1307.78,1707.82,589.96,671.17,682.64,1088.95,1685.52,600,727,645,833,987,,,Gram,Rabi,10108.45,11570.1,1145
Moong,Total,4242.29,4754.96,4580.54,5130.17,5550.53,2023.18,2455.37,2508.87,3085.35,3165.83,477,516,548,601,570,,,Urad,Kharif,3923.14,1963.03,500
Lentil,Rabi,1549.21,1362.72,1302.69,1468.31,1411.92,1621.81,1227.82,1103.03,1493.85,1268.83,1047,901,847,1017,899,,,,Rabi,915.04,764.81,836
Other Pulses,Kharif,1885.43,1722.2,1779.92,1670.55,1751.36,831.47,629.15,873.28,799.34,669.4,441,365,491,478,382,,,,Total,4838.18,2727.84,564
Other Pulses,Rabi,1858.41,1617.04,1559.6,1651.42,1743.81,1778.32,1450.08,1488.56,1627.92,1657.88,957,897,954,986,951,,,Moong,Kharif,3655.52,1704.07,466
Other Pulses,Total,3743.84,3339.23,3339.52,3321.96,3495.18,2609.79,2079.22,2361.85,2427.26,2327.28,697,623,707,731,666,,,,Rabi,1196.18,943.65,789
Total Pulses,Kharif,13933.3,14829.67,13535.46,13430.34,14118.99,9305.76,8091.35,7920.88,8618.22,8235.03,668,546,585,642,583,,,,Total,4851.7,2647.72,546
Total Pulses,Rabi,15879.85,14326.29,14451.85,15352.98,16612.46,16110.46,13984.5,15104.37,16844.9,19066.66,1015,976,1045,1097,1148,,,Lentil,Rabi,1418.97,1343.07,947
Total Pulses,Total,29813.16,29155.97,27987.31,28783.32,30731.45,25416.22,22075.86,23025.25,25463.12,27301.69,853,757,823,885,888,,,Other Pulses,Kharif,1761.89,760.53,432
Total Food Grains,Kharif,71997.29,72329.01,70862,72441.55,72896.47,140466.23,141515.82,143812.15,150576.26,155363.77,1951,1957,2029,2079,2131,,,,Rabi,1686.06,1600.55,949
Total Food Grains,Rabi,55527,52447.92,56132.53,57353.46,57272.41,144547.31,143693.5,153692.3,160165.47,160252.06,2603,2740,2738,2793,2798,,,,Total,3447.95,2361.08,685
Total Food Grains,Total,127524.29,124776.93,126994.53,129795.01,130168.88,285013.54,285209.32,297504.46,310741.74,315615.83,2235,2286,2343,2394,2425,,,Total Pulses,Kharif,13969.55,8434.25,604
,,,,,,,,,,,,,,,,,,,,Rabi,15324.69,16222.18,1059
,,,,,,,,,,,,,,,,,,,,Total,29294.24,24656.43,842
,,,,,,,,,,,,,,,,,,,Total Food Grains,Kharif,72105.26,146346.85,2030
,,,,,,,,,,,,,,,,,,,,Rabi,55746.66,152470.13,2735
,,,,,,,,,,,,,,,,,,,,Total,127851.93,298816.98,2337
