"State	",Saeson,Area,,,,,Production,,,,,Yield,,,,
"Andaman And Nicobar Islands	",total,5.93,5.99,5.92,6.94,6.94,17.06,11.64,18.28,13.72,13.72,2875,1945,2939,1975,1976
"Andhra Pradesh	",total,4144,4023,4089.1,4074.5,4010,12159.77,10838.81,12356.78,11299.04,11076.52,2934,2694,3022,2773,2762
"Arunachal Pradesh	",total,226.69,228.21,228.76,229.04,235.4,359.08,365.15,373.19,377.07,388.24,1584,1600,1631,1646,1649
"Assam	",total,2642.97,2629.83,2487.66,2558.24,2554.52,5525.91,5465.86,5236.4,5487.51,4677.68,2091,2078,2105,2145,1831
"Bihar	",total,6586.47,6495.52,6183.15,6359.43,6443.77,17036.89,15600.06,14233,15382.59,17018.16,2587,2402,2302,2419,2641
"Chandigarh	",total,0.06,0.06,1.43,0.63,0.64,0.26,0.28,7.1,2.92,3.21,4628,4974,4977,4607,5034
"Chhattisgarh	",total,4884.99,4674.66,4735.49,4804.45,4760.92,5958.67,7558.58,7501.84,8225.52,9023.61,1220,1617,1584,1712,1895
Dadra And Nagar Haveli,total,17.76,19.67,20.23,16.7,16.7,35.71,36.45,40.33,34.34,34.21,2011,1853,1994,2056,2049
"Daman And Diu	",total,2.22,1.93,1.8,1.93,1.93,2.76,2.47,2.94,3.55,3.54,1244,1281,1634,1841,1832
"Delhi	",total,29.95,29.79,29.75,29.7,28.54,106.91,106.28,106.2,111.79,107.23,3570,3567,3570,3764,3757
"Goa	",total,44.06,42.59,39.1,36.52,36.15,107.83,105.16,94.24,91.09,93.45,2447,2469,2411,2494,2585
"Gujarat	",total,3737,3187.66,3759.15,4230.29,4595.04,7664.69,6803.63,8153.43,8973.93,10130.65,2051,2134,2169,2121,2205
"Haryana	",total,4458.2,4557.9,4591.38,4595.14,4225.77,16191.83,18145,17863.47,18309.5,16329.68,3632,3981,3891,3985,3864
"Himachal Pradesh	",total,724.91,732.62,701.94,727.03,710.94,1488.25,1501.05,1530.12,1535.51,1606.52,2053,2049,2180,2112,2260
"Jammu And Kashmir	",total,919.33,868.99,835.56,841.89,877.02,1571.07,1892.51,1671.21,1594.95,1678.47,1709,2178,2000,1894,1914
"Jharkhand	",total,3067.08,2711.02,2637.43,2811.02,2833.24,6001.3,4399.69,4792.3,4871.69,5001.48,1957,1623,1817,1733,1765
"Karnataka	",total,7647.7,7659.02,7709.1,8235.11,7980.3,11791.19,10888.35,12783.69,14550.07,13776.54,1542,1422,1658,1767,1726
"Kerala	",total,191.45,201.1,201.11,207.67,197.65,523.77,581.18,608.43,636.38,489.27,2736,2890,3025,3064,2475
"Ladakh	",total,0,0,0,11.69,15.59,0,0,0,11.96,30.07,0,0,0,1023,1929
"Madhya Pradesh	",total,17042,16352,15246.09,15014,15925.1,33450.39,32208.71,33523.13,32844.23,39308.32,1963,1970,2199,2188,2468
"Maharashtra	",total,10926.3,9621.6,11026.24,11345.88,11584.61,13246.68,10304.1,12819.86,15766.09,16656.41,1212,1071,1163,1390,1438
"Manipur	",total,297.02,293.24,207.57,284.71,258.08,706.54,495.03,421.38,697.09,655.21,2379,1688,2030,2448,2539
"Meghalaya	",total,140.96,142.03,140.82,137.48,138.45,361.76,260.65,360.82,353.33,355.04,2566,1835,2562,2570,2564
"Mizoram	",total,45.42,45.48,45.61,46.48,45.59,74.21,76.91,76.46,80.68,77.9,1634,1691,1676,1736,1709
"Nagaland	",total,336.53,335.38,340.55,342.6,197.82,552.29,558.13,565.42,570.24,253.39,1641,1664,1660,1664,1281
"Odisha	",total,4665.44,4708.57,4829.13,4978.46,5022.17,7151.28,8315.21,9030.05,9523.56,10125.2,1533,1766,1870,1913,2016
"Puducherry	",total,18.77,19.22,19.61,19.33,20.29,44.07,64.28,60.28,50.7,57.77,2348,3345,3074,2623,2847
"Punjab	",total,6729.9,6769.4,6595.8,6604.5,6668,31691.86,31532.35,29857.33,30418.34,28252.49,4709,4658,4527,4606,4237
"Rajasthan	",total,14236.98,14811.2,15809.6,15556.35,14748.14,19957,21288.77,23227.06,24282.31,21662.78,1402,1437,1469,1561,1469
"Sikkim	",total,56.37,55.1,55.16,54.74,54.32,93.87,91.98,92.09,91.75,91.25,1665,1669,1669,1676,1680
"Tamil Nadu	",total,3538.58,3495.94,3692.41,3819.58,3974.07,10713.56,10390.12,11269.78,10823.62,11998.02,3028,2972,3052,2834,3019
"Telangana	",total,3245,3056,3194,4145.1,4742,9421.08,9275.17,11125.05,12745.62,15348.82,2903,3035,3483,3075,3237
"Tripura	",total,318.6,312.92,308.03,313.56,300.82,855.35,836.35,853.31,867.64,870.91,2685,2673,2770,2767,2895
"Uttarakhand	",total,851,835,805,809,788,1903.18,1876.14,1886.01,2001.84,1924.43,2236,2247,2343,2474,2442
"Uttar Pradesh	",total,19800,19493,19949,19933,19547,51369.93,54643.42,56169.14,58106.92,56188.09,2594,2803,2816,2915,2875
"West Bengal	",total,5944.66,6361.32,6471.57,6612.34,6623.37,16877.53,18689.87,18794.33,20004.64,20307.56,2839,2938,2904,3025,3066
"All India	",total,127524.29,124776.93,126994.53,129795.01,130168.88,285013.54,285209.32,297504.46,310741.74,315615.83,2235,2286,2343,2394,2425
